Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1813.1494885026714
FDW14,OUT017,1393.1117910133773
NCN55,OUT010,1887.2810760146012
FDQ58,OUT017,2594.805431189861
FDY38,OUT027,5178.381132190594
FDH56,OUT046,1940.073442331261
FDL48,OUT018,624.321659336653
FDC48,OUT027,2809.4771993136437
FDN33,OUT045,1475.2684621009303
FDA36,OUT017,3116.030433082484
FDT44,OUT017,2060.1484610301027
FDQ56,OUT045,1338.6609753501818
NCC54,OUT019,1877.4523596127049
FDU11,OUT049,2060.7008366582786
DRL59,OUT013,811.7018002324428
FDM24,OUT049,2548.025351169631
FDI57,OUT045,3198.9539740760547
DRC12,OUT018,2813.668796156786
NCM42,OUT027,3217.7459257375644
FDA46,OUT010,1124.3007580787548
FDA31,OUT013,2886.0434868109846
NCJ31,OUT035,3906.2647164619616
FDG52,OUT046,688.3020464259457
NCL19,OUT019,361.7535701501579
FDS10,OUT035,3010.918759120141
FDX22,OUT010,1438.3461675577973
NCF19,OUT035,905.7139196044243
NCE06,OUT046,2515.349113440881
DRC27,OUT046,3811.4531430894367
FDE21,OUT035,1993.8824811163083
NCR42,OUT019,-1386.618031582661
FDX51,OUT018,2937.189721645321
NCR06,OUT018,444.07024051649864
FDU31,OUT027,5028.313024185133
FDU59,OUT017,2756.142571383902
FDR03,OUT027,4819.930964211752
FDS49,OUT027,2791.033003961853
FDD48,OUT010,-79.60731499688518
NCF18,OUT017,3141.022069643306
NCD43,OUT027,3121.1561150469834
NCD54,OUT018,2020.890028029676
FDY19,OUT010,-78.87060854188985
NCY54,OUT017,2843.1786910046826
NCL19,OUT018,2060.2562820956027
FDP23,OUT010,1549.7404290897816
FDC26,OUT013,1860.4070583114708
FDR14,OUT010,-1086.8817441703022
NCS41,OUT035,3044.9355809925964
FDF41,OUT035,4062.2362829539884
FDU34,OUT046,1961.0002717770194
DRH11,OUT046,876.578892824579
FDM03,OUT013,1797.6545834029268
FDS31,OUT017,3091.4014644643466
FDJ20,OUT017,2158.4093140954737
FDV44,OUT027,4570.372165793483
FDG02,OUT049,3109.527851811871
FDA09,OUT013,2953.422247431729
FDT04,OUT013,615.2473526741221
FDL58,OUT019,2283.9980942965776
FDE52,OUT045,1369.8454047494238
FDW12,OUT035,2507.5794240006308
FDL51,OUT017,3528.8314235631797
NCY42,OUT027,3716.5450300639964
FDR07,OUT017,1725.182286220158
FDN40,OUT045,2346.998447355249
FDB35,OUT027,2982.42042409294
FDA22,OUT017,2859.292719491371
NCL06,OUT046,4102.574668896032
FDI35,OUT013,2952.5961923929426
NCW42,OUT045,3401.519260156574
NCX06,OUT049,2926.522913010776
FDC37,OUT027,3232.110361611856
FDZ14,OUT018,1715.838729582743
DRG49,OUT049,3969.8181420470896
NCG06,OUT045,3950.2167202593273
DRC36,OUT045,2717.443698032921
FDV21,OUT019,47.23871855452762
FDB53,OUT046,2332.04344158592
DRP47,OUT019,2033.0126649219449
FDA14,OUT013,2256.9363437073907
DRC24,OUT035,2581.459737014582
FDW21,OUT018,1415.6428900878427
NCH29,OUT046,1535.9984962392778
FDU58,OUT013,3092.1630381546092
FDY27,OUT017,2914.0076490481297
FDV56,OUT035,1985.8928145388675
FDT59,OUT046,3586.6517133372026
FDB23,OUT046,3605.377985181206
FDR49,OUT045,681.5149824721543
FDB03,OUT010,1876.6183167830127
FDN39,OUT045,2637.534508652134
FDX02,OUT027,4978.723629051988
FDQ16,OUT027,3213.218995961301
FDU35,OUT018,1378.0368249305284
NCT29,OUT013,1999.083043482186
FDZ27,OUT046,737.8664520342215
FDN57,OUT017,2354.975053050451
FDA03,OUT018,2076.991733044299
FDZ36,OUT045,2916.10978545864
NCU05,OUT013,1357.5444517569244
FDT39,OUT018,2253.3056711135614
FDK60,OUT017,1726.8150829541546
FDZ25,OUT017,2872.668602727613
FDG12,OUT046,1849.9424055767308
DRB01,OUT019,1217.7758643193567
NCC43,OUT027,5416.72440966393
FDX13,OUT019,2048.6969736744777
FDM22,OUT049,986.450062927617
FDJ03,OUT027,2279.2168461816523
FDU14,OUT018,3682.477682775412
FDB33,OUT010,668.3490290018588
FDP27,OUT046,3034.4807261734745
FDO38,OUT010,-676.2479715325167
FDE28,OUT027,5183.157670718185
