iter	Passed	Remaining
0	264	132116
1	539	134233
2	711	117946
3	848	105241
4	1049	103887
5	1291	106323
6	1485	104650
7	1649	101450
8	1841	100472
9	2072	101543
10	2413	107302
11	2654	107937
12	3015	112951
13	3222	111854
14	3447	111457
15	3580	108311
16	3753	106640
17	3837	102761
18	4071	103064
19	4422	106139
20	4758	108547
21	5108	110999
22	5370	111378
23	5509	109261
24	5747	109204
25	5948	108440
26	6160	107920
27	6430	108396
28	6693	108705
29	6947	108849
30	7132	107909
31	7387	108045
32	7667	108505
33	7880	108005
34	8085	107419
35	8314	107160
36	8493	106284
37	8705	105845
38	8867	104823
39	9050	104079
40	9237	103416
41	9449	103039
42	9613	102173
43	9801	101583
44	10021	101326
45	10210	100776
46	10410	100338
47	10623	100036
48	10844	99810
49	11083	99755
50	11304	99521
51	11653	100401
52	11995	101169
53	12354	102039
54	12597	101927
55	12864	101994
56	13088	101719
57	13346	101707
58	13529	101129
59	13770	100983
60	14000	100760
61	14230	100528
62	14402	99901
63	14698	100133
64	14909	99778
65	15276	100455
66	15533	100389
67	15734	99962
68	15945	99604
69	16187	99437
70	16394	99057
71	16592	98633
72	16794	98235
73	17059	98207
74	17283	97937
75	17493	97594
76	17739	97454
77	18022	97507
78	18319	97627
79	18569	97489
80	18828	97395
81	19074	97235
82	19355	97245
83	19651	97321
84	19933	97320
85	20213	97307
86	20483	97236
87	20718	97002
88	20978	96878
89	21231	96721
90	21380	96096
91	21578	95697
92	21836	95562
93	22099	95452
94	22329	95194
95	22617	95181
96	22856	94958
97	23114	94818
98	23415	94843
99	23684	94736
100	23931	94541
101	24208	94459
102	24484	94374
103	24776	94340
104	25049	94234
105	25144	93462
106	25443	93449
107	25757	93491
108	26016	93326
109	26254	93082
110	26424	92604
111	26571	92052
112	26626	91189
113	26849	90910
114	27119	90790
115	27470	90935
116	27755	90858
117	28110	91000
118	28240	90416
119	28587	90527
120	28661	89775
121	28983	89800
122	29303	89817
123	29409	89175
124	29705	89117
125	29954	88913
126	30180	88640
127	30392	88329
128	30518	87770
129	30744	87503
130	30986	87282
131	31187	86947
132	31415	86687
133	31603	86319
134	31824	86044
135	32038	85750
136	32351	85720
137	32610	85543
138	32856	85331
139	33134	85204
140	33394	85026
141	33671	84890
142	33942	84737
143	34230	84625
144	34521	84517
145	34788	84351
146	35061	84194
147	35346	84068
148	35591	83843
149	35879	83719
150	36175	83611
151	36426	83396
152	36508	82799
153	36801	82684
154	37055	82479
155	37287	82223
156	37587	82117
157	37837	81900
158	38121	81756
159	38337	81466
160	38531	81130
161	38733	80813
162	38813	80246
163	39047	80000
164	39324	79839
165	39590	79658
166	39873	79508
167	40105	79256
168	40383	79094
169	40622	78855
170	40861	78616
171	41148	78469
172	41456	78360
173	41751	78223
174	42026	78049
175	42271	77818
176	42508	77572
177	42763	77359
178	43040	77184
179	43307	76990
180	43554	76761
181	43844	76608
182	44123	76432
183	44414	76276
184	44684	76084
185	44946	75877
186	45231	75707
187	45544	75584
188	45815	75389
189	46112	75236
190	46374	75024
191	46620	74786
192	46889	74586
193	47162	74389
194	47410	74154
195	47670	73938
196	47981	73799
197	48248	73590
198	48529	73403
199	48814	73222
200	48936	72796
201	49052	72364
202	49293	72119
203	49554	71903
204	49867	71760
205	50175	71608
206	50423	71372
207	50616	71057
208	50859	70813
209	51007	70439
210	51213	70145
211	51294	69683
212	51497	69388
213	51739	69147
214	52040	68983
215	52316	68787
216	52552	68536
217	52795	68294
218	52994	67997
219	53250	67773
220	53491	67530
221	53782	67349
222	54036	67121
223	54145	66714
224	54377	66461
225	54670	66282
226	54906	66032
227	55159	65804
228	55417	65581
229	55692	65378
230	55944	65146
231	56214	64937
232	56488	64730
233	56746	64506
234	56932	64200
235	57214	64002
236	57456	63759
237	57704	63522
238	57806	63127
239	58091	62932
240	58337	62694
241	58612	62487
242	58688	62069
243	58875	61770
244	58954	61360
245	59146	61070
246	59445	60889
247	59683	60646
248	59909	60391
249	60153	60153
250	60401	59920
251	60571	59610
252	60851	59408
253	60952	59032
254	61196	58796
255	61470	58589
256	61726	58363
257	61953	58111
258	62166	57845
259	62364	57567
260	62522	57252
261	62733	56987
262	62946	56723
263	63209	56505
264	63439	56258
265	63729	56062
266	64047	55891
267	64332	55691
268	64575	55453
269	64665	55085
270	64918	54857
271	65061	54537
272	65350	54339
273	65569	54083
274	65653	53716
275	65926	53505
276	66178	53277
277	66450	53065
278	66718	52848
279	67014	52654
280	67124	52314
281	67409	52111
282	67699	51911
283	67942	51674
284	68108	51379
285	68349	51142
286	68614	50922
287	68867	50694
288	69167	50499
289	69431	50278
290	69671	50039
291	69925	49809
292	70222	49610
293	70506	49402
294	70772	49180
295	71044	48963
296	71333	48756
297	71579	48520
298	71820	48280
299	71922	47948
300	72174	47716
301	72429	47486
302	72688	47259
303	72839	46962
304	73091	46730
305	73374	46518
306	73489	46200
307	73800	46005
308	74036	45763
309	74316	45549
310	74514	45283
311	74635	44972
312	74848	44717
313	74937	44389
314	75008	44052
315	75065	43708
316	75173	43396
317	75233	43058
318	75468	42820
319	75708	42586
320	76004	42382
321	76251	42151
322	76533	41939
323	76786	41711
324	77048	41487
325	77288	41252
326	77418	40958
327	77533	40657
328	77782	40428
329	78056	40210
330	78332	39994
331	78558	39752
332	78676	39456
333	78939	39233
334	79198	39008
335	79476	38792
336	79765	38580
337	80015	38350
338	80294	38133
339	80566	37913
340	80635	37598
341	80906	37377
342	81171	37154
343	81430	36927
344	81726	36717
345	81975	36486
346	82229	36256
347	82516	36041
348	82771	35812
349	82991	35567
350	83238	35334
351	83518	35115
352	83608	34817
353	83673	34509
354	83869	34256
355	84086	34012
356	84185	33721
357	84384	33470
358	84671	33255
359	84902	33017
360	85110	32770
361	85369	32544
362	85614	32311
363	85845	32074
364	86084	31839
365	86335	31609
366	86507	31350
367	86801	31135
368	87071	30911
369	87342	30687
370	87649	30476
371	87753	30194
372	88034	29974
373	88308	29751
374	88398	29466
375	88657	29238
376	88891	29001
377	89104	28758
378	89250	28494
379	89503	28264
380	89640	27997
381	89842	27752
382	90031	27503
383	90242	27260
384	90444	27015
385	90550	26742
386	90797	26511
387	90871	26230
388	91119	26000
389	91417	25784
390	91662	25552
391	91913	25322
392	92156	25091
393	92375	24852
394	92639	24625
395	92714	24349
396	92965	24119
397	93261	23901
398	93529	23675
399	93786	23446
400	94015	23210
401	94231	22971
402	94469	22738
403	94706	22504
404	94916	22264
405	95209	22043
406	95570	21838
407	95895	21623
408	96128	21388
409	96358	21151
410	96609	20920
411	96829	20681
412	96995	20432
413	97190	20189
414	97409	19951
415	97678	19723
416	97939	19493
417	98172	19258
418	98319	19006
419	98532	18768
420	98814	18542
421	99029	18304
422	99330	18081
423	99579	17849
424	99956	17639
425	100241	17412
426	100479	17178
427	100680	16936
428	100866	16693
429	101117	16461
430	101450	16241
431	101833	16029
432	102054	15791
433	102263	15551
434	102477	15312
435	102684	15072
436	102875	14830
437	103088	14592
438	103297	14353
439	103531	14117
440	103771	13883
441	104016	13649
442	104256	13414
443	104529	13183
444	104829	12956
445	105099	12725
446	105378	12494
447	105662	12264
448	105971	12036
449	106226	11802
450	106466	11567
